Date : 2021-01-21 10:16:35
Directory : c:\Users\sad sad\Desktop\React\app
Total : 95 files,  22277 codes, 244 comments, 545 blanks, all 23066 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |          5 |     17,569 |          0 |          3 |     17,572 |
| JavaScript       |         53 |      3,336 |        192 |        393 |      3,921 |
| XML              |         20 |        511 |          9 |          9 |        529 |
| Markdown         |          7 |        439 |          0 |         72 |        511 |
| JavaScript React |          8 |        394 |         20 |         66 |        480 |
| HTML             |          1 |         26 |         23 |          1 |         50 |
| Log              |          1 |          2 |          0 |          1 |          3 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                    |         95 |     22,277 |        244 |        545 |     23,066 |
| public                                                                               |          4 |         71 |         23 |          2 |         96 |
| public\locales                                                                       |          2 |         20 |          0 |          0 |         20 |
| public\locales\en                                                                    |          1 |         10 |          0 |          0 |         10 |
| public\locales\pl                                                                    |          1 |         10 |          0 |          0 |         10 |
| src                                                                                  |         87 |      4,640 |        221 |        507 |      5,368 |
| src\.VSCodeCounter                                                                   |          6 |        399 |          0 |         39 |        438 |
| src\.VSCodeCounter\2021-01-18_15-53-17                                               |          2 |        127 |          0 |         13 |        140 |
| src\.VSCodeCounter\2021-01-19_21-10-30                                               |          2 |        135 |          0 |         13 |        148 |
| src\.VSCodeCounter\2021-01-19_22-18-08                                               |          2 |        137 |          0 |         13 |        150 |
| src\Firebase                                                                         |          1 |         14 |          0 |          3 |         17 |
| src\assets                                                                           |         21 |        539 |          9 |         18 |        566 |
| src\assets\style                                                                     |          1 |         28 |          0 |          9 |         37 |
| src\assets\svg                                                                       |         20 |        511 |          9 |          9 |        529 |
| src\components                                                                       |         34 |      1,844 |          1 |        216 |      2,061 |
| src\components\Footer                                                                |          1 |         12 |          0 |          4 |         16 |
| src\components\Form                                                                  |          9 |        311 |          0 |         43 |        354 |
| src\components\JobDetails                                                            |          8 |        464 |          0 |         52 |        516 |
| src\components\Jobs                                                                  |          3 |        213 |          0 |         23 |        236 |
| src\components\Loader                                                                |          1 |         49 |          0 |          3 |         52 |
| src\components\Modal                                                                 |          2 |         65 |          0 |          8 |         73 |
| src\components\Navbar                                                                |          7 |        425 |          1 |         52 |        478 |
| src\components\UserJob                                                               |          1 |        179 |          0 |         14 |        193 |
| src\components\UserSettings                                                          |          2 |        126 |          0 |         17 |        143 |
| src\i18n                                                                             |          2 |         34 |          0 |         11 |         45 |
| src\layout                                                                           |          1 |         18 |          1 |          9 |         28 |
| src\pages                                                                            |         12 |      1,269 |        190 |        133 |      1,592 |
| src\pages\JobActions                                                                 |          2 |        420 |         72 |         33 |        525 |
| src\pages\User                                                                       |          7 |        600 |        118 |         77 |        795 |
| src\store                                                                            |          8 |        394 |         20 |         66 |        480 |
| src\store\actions                                                                    |          4 |        217 |         12 |         28 |        257 |
| src\store\reducers                                                                   |          3 |        150 |          7 |         32 |        189 |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                             | language         | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\sad sad\Desktop\React\app\README.md                                         | Markdown         |         40 |          0 |         33 |         73 |
| c:\Users\sad sad\Desktop\React\app\debug.log                                         | Log              |          2 |          0 |          1 |          3 |
| c:\Users\sad sad\Desktop\React\app\package-lock.json                                 | JSON             |     17,468 |          0 |          1 |     17,469 |
