"filename", "language", "JavaScript React", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\sad sad\Desktop\React\app\src\App.js", "JavaScript", 0, 83, 0, 0, 7, 90
"c:\Users\sad sad\Desktop\React\app\src\Firebase\Firebase.js", "JavaScript", 0, 14, 0, 0, 3, 17
"c:\Users\sad sad\Desktop\React\app\src\assets\style\GlobalStyle.js", "JavaScript", 0, 28, 0, 0, 9, 37
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\accept.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\account.svg", "XML", 0, 0, 42, 1, 1, 44
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\document.svg", "XML", 0, 0, 100, 1, 1, 102
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\documents.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\home.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\it.svg", "XML", 0, 0, 76, 1, 1, 78
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\joblvl.svg", "XML", 0, 0, 50, 1, 1, 52
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\jobtime.svg", "XML", 0, 0, 51, 1, 1, 53
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\jobtype.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\logout.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\loupe.svg", "XML", 0, 0, 42, 1, 1, 44
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\marker.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\money.svg", "XML", 0, 0, 51, 1, 1, 53
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\newuser.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\office.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\settings.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\suitcase.svg", "XML", 0, 0, 47, 1, 1, 49
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\talk.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\user.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\sad sad\Desktop\React\app\src\components\Items\Footer\Footer.js", "JavaScript", 0, 12, 0, 0, 4, 16
"c:\Users\sad sad\Desktop\React\app\src\components\Items\Form\BackgroundImage.js", "JavaScript", 0, 71, 0, 0, 4, 75
"c:\Users\sad sad\Desktop\React\app\src\components\Items\Form\Button.js", "JavaScript", 0, 23, 0, 0, 6, 29
"c:\Users\sad sad\Desktop\React\app\src\components\Items\Form\FormStyles.js", "JavaScript", 0, 53, 0, 0, 4, 57
"c:\Users\sad sad\Desktop\React\app\src\components\Items\Form\Input.js", "JavaScript", 0, 54, 0, 0, 6, 60
"c:\Users\sad sad\Desktop\React\app\src\components\Items\Form\InputUser.js", "JavaScript", 0, 52, 0, 0, 6, 58
"c:\Users\sad sad\Desktop\React\app\src\components\Items\Form\Message.js", "JavaScript", 0, 29, 0, 0, 4, 33
"c:\Users\sad sad\Desktop\React\app\src\components\Items\Form\Reference.js", "JavaScript", 0, 24, 0, 0, 4, 28
"c:\Users\sad sad\Desktop\React\app\src\components\Items\Form\Select.js", "JavaScript", 0, 56, 0, 0, 7, 63
"c:\Users\sad sad\Desktop\React\app\src\components\Items\Form\TextArea.js", "JavaScript", 0, 54, 0, 0, 6, 60
"c:\Users\sad sad\Desktop\React\app\src\components\Items\JobDetails\About.js", "JavaScript", 0, 39, 0, 0, 9, 48
"c:\Users\sad sad\Desktop\React\app\src\components\Items\JobDetails\Header.js", "JavaScript", 0, 237, 0, 0, 17, 254
"c:\Users\sad sad\Desktop\React\app\src\components\Items\JobDetails\Offer.js", "JavaScript", 0, 59, 0, 0, 10, 69
"c:\Users\sad sad\Desktop\React\app\src\components\Items\JobDetails\Requirements.js", "JavaScript", 0, 63, 0, 0, 8, 71
"c:\Users\sad sad\Desktop\React\app\src\components\Items\JobDetails\Responsibilities.js", "JavaScript", 0, 64, 0, 0, 9, 73
"c:\Users\sad sad\Desktop\React\app\src\components\Items\JobDetails\Technologies.js", "JavaScript", 0, 64, 0, 0, 8, 72
"c:\Users\sad sad\Desktop\React\app\src\components\Items\JobDetails\UserJob.js", "JavaScript", 0, 47, 0, 0, 5, 52
"c:\Users\sad sad\Desktop\React\app\src\components\Items\Loader\Loader.js", "JavaScript", 0, 49, 0, 0, 3, 52
"c:\Users\sad sad\Desktop\React\app\src\components\Items\Modal\Backdrop.js", "JavaScript", 0, 18, 0, 0, 4, 22
"c:\Users\sad sad\Desktop\React\app\src\components\Items\Modal\Modal.js", "JavaScript", 0, 47, 0, 0, 4, 51
"c:\Users\sad sad\Desktop\React\app\src\components\Items\Navbar\AccountMenu.js", "JavaScript", 0, 42, 0, 0, 6, 48
"c:\Users\sad sad\Desktop\React\app\src\components\Items\Navbar\DropDownMenu.js", "JavaScript", 0, 87, 0, 0, 5, 92
"c:\Users\sad sad\Desktop\React\app\src\components\Items\Navbar\Logo.js", "JavaScript", 0, 25, 0, 0, 4, 29
"c:\Users\sad sad\Desktop\React\app\src\components\Items\Navbar\MobileNavbar.js", "JavaScript", 0, 76, 0, 0, 5, 81
"c:\Users\sad sad\Desktop\React\app\src\components\Items\Navbar\NavLink.js", "JavaScript", 0, 34, 0, 0, 5, 39
"c:\Users\sad sad\Desktop\React\app\src\components\Items\Navbar\Navbar.js", "JavaScript", 0, 84, 0, 0, 9, 93
"c:\Users\sad sad\Desktop\React\app\src\components\Items\Navbar\Option.js", "JavaScript", 0, 65, 0, 0, 10, 75
"c:\Users\sad sad\Desktop\React\app\src\components\JobActions\AddJob.js", "JavaScript", 0, 362, 0, 13, 16, 391
"c:\Users\sad sad\Desktop\React\app\src\components\JobActions\DeleteJob.js", "JavaScript", 0, 57, 0, 57, 11, 125
