"filename", "language", "JavaScript React", "JavaScript", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\sad sad\Desktop\React\app\src\.VSCodeCounter\2021-01-18_15-53-17\details.md", "Markdown", 0, 0, 89, 0, 0, 6, 95
"c:\Users\sad sad\Desktop\React\app\src\.VSCodeCounter\2021-01-18_15-53-17\results.md", "Markdown", 0, 0, 38, 0, 0, 7, 45
"c:\Users\sad sad\Desktop\React\app\src\.VSCodeCounter\2021-01-19_21-10-30\details.md", "Markdown", 0, 0, 94, 0, 0, 6, 100
"c:\Users\sad sad\Desktop\React\app\src\.VSCodeCounter\2021-01-19_21-10-30\results.md", "Markdown", 0, 0, 41, 0, 0, 7, 48
"c:\Users\sad sad\Desktop\React\app\src\.VSCodeCounter\2021-01-19_22-18-08\details.md", "Markdown", 0, 0, 95, 0, 0, 6, 101
"c:\Users\sad sad\Desktop\React\app\src\.VSCodeCounter\2021-01-19_22-18-08\results.md", "Markdown", 0, 0, 42, 0, 0, 7, 49
"c:\Users\sad sad\Desktop\React\app\src\.VSCodeCounter\2021-01-24_14-45-11\details.md", "Markdown", 0, 0, 96, 0, 0, 6, 102
"c:\Users\sad sad\Desktop\React\app\src\.VSCodeCounter\2021-01-24_14-45-11\results.md", "Markdown", 0, 0, 43, 0, 0, 7, 50
"c:\Users\sad sad\Desktop\React\app\src\App.js", "JavaScript", 0, 86, 0, 0, 0, 6, 92
"c:\Users\sad sad\Desktop\React\app\src\Firebase\Firebase.js", "JavaScript", 0, 14, 0, 0, 0, 3, 17
"c:\Users\sad sad\Desktop\React\app\src\assets\style\GlobalStyle.js", "JavaScript", 0, 28, 0, 0, 0, 9, 37
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\accept.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\account.svg", "XML", 0, 0, 0, 42, 1, 1, 44
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\document.svg", "XML", 0, 0, 0, 100, 1, 1, 102
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\documents.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\home.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\it.svg", "XML", 0, 0, 0, 76, 1, 1, 78
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\joblvl.svg", "XML", 0, 0, 0, 50, 1, 1, 52
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\jobtime.svg", "XML", 0, 0, 0, 51, 1, 1, 53
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\jobtype.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\logout.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\loupe.svg", "XML", 0, 0, 0, 42, 1, 1, 44
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\mail.svg", "XML", 0, 0, 0, 43, 1, 1, 45
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\marker.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\money.svg", "XML", 0, 0, 0, 51, 1, 1, 53
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\newuser.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\next.svg", "XML", 0, 0, 0, 41, 1, 1, 43
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\office.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\settings.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\suitcase.svg", "XML", 0, 0, 0, 47, 1, 1, 49
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\talk.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\sad sad\Desktop\React\app\src\assets\svg\user.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\sad sad\Desktop\React\app\src\components\Footer\Footer.js", "JavaScript", 0, 12, 0, 0, 0, 4, 16
"c:\Users\sad sad\Desktop\React\app\src\components\Form\BackgroundImage.js", "JavaScript", 0, 70, 0, 0, 0, 5, 75
"c:\Users\sad sad\Desktop\React\app\src\components\Form\Button.js", "JavaScript", 0, 22, 0, 0, 0, 5, 27
"c:\Users\sad sad\Desktop\React\app\src\components\Form\FormStyles.js", "JavaScript", 0, 79, 0, 0, 0, 8, 87
"c:\Users\sad sad\Desktop\React\app\src\components\Form\InputUser.js", "JavaScript", 0, 24, 0, 0, 0, 4, 28
"c:\Users\sad sad\Desktop\React\app\src\components\Form\Message.js", "JavaScript", 0, 28, 0, 0, 0, 4, 32
"c:\Users\sad sad\Desktop\React\app\src\components\Form\Reference.js", "JavaScript", 0, 23, 0, 0, 0, 5, 28
"c:\Users\sad sad\Desktop\React\app\src\components\Form\Select.js", "JavaScript", 0, 28, 0, 0, 0, 4, 32
"c:\Users\sad sad\Desktop\React\app\src\components\Form\TextArea.js", "JavaScript", 0, 30, 0, 0, 0, 5, 35
"c:\Users\sad sad\Desktop\React\app\src\components\Form\index.js", "JavaScript", 0, 7, 0, 0, 0, 3, 10
"c:\Users\sad sad\Desktop\React\app\src\components\JobDetails\About.js", "JavaScript", 0, 39, 0, 0, 0, 9, 48
"c:\Users\sad sad\Desktop\React\app\src\components\JobDetails\Attribute.js", "JavaScript", 0, 22, 0, 0, 0, 5, 27
"c:\Users\sad sad\Desktop\React\app\src\components\JobDetails\Header.js", "JavaScript", 0, 234, 0, 0, 0, 13, 247
"c:\Users\sad sad\Desktop\React\app\src\components\JobDetails\JobDetailStyles.js", "JavaScript", 0, 26, 0, 0, 0, 3, 29
"c:\Users\sad sad\Desktop\React\app\src\components\JobDetails\Requirements.js", "JavaScript", 0, 28, 0, 0, 0, 5, 33
"c:\Users\sad sad\Desktop\React\app\src\components\JobDetails\Responsibilities.js", "JavaScript", 0, 29, 0, 0, 0, 4, 33
"c:\Users\sad sad\Desktop\React\app\src\components\JobDetails\Technologies.js", "JavaScript", 0, 39, 0, 0, 0, 8, 47
"c:\Users\sad sad\Desktop\React\app\src\components\JobDetails\UserJob.js", "JavaScript", 0, 44, 0, 0, 0, 5, 49
"c:\Users\sad sad\Desktop\React\app\src\components\Jobs\Attribute.js", "JavaScript", 0, 25, 0, 0, 0, 5, 30
"c:\Users\sad sad\Desktop\React\app\src\components\Jobs\JobEditor.js", "JavaScript", 0, 43, 0, 0, 0, 5, 48
"c:\Users\sad sad\Desktop\React\app\src\components\Jobs\JobList.js", "JavaScript", 0, 145, 0, 0, 0, 13, 158
"c:\Users\sad sad\Desktop\React\app\src\components\Loader\Loader.js", "JavaScript", 0, 49, 0, 0, 0, 3, 52
"c:\Users\sad sad\Desktop\React\app\src\components\Modal\Backdrop.js", "JavaScript", 0, 18, 0, 0, 0, 4, 22
"c:\Users\sad sad\Desktop\React\app\src\components\Modal\Modal.js", "JavaScript", 0, 47, 0, 0, 0, 4, 51
"c:\Users\sad sad\Desktop\React\app\src\components\Navbar\AccountMenu.js", "JavaScript", 0, 42, 0, 0, 0, 6, 48
"c:\Users\sad sad\Desktop\React\app\src\components\Navbar\DropDownMenu.js", "JavaScript", 0, 85, 0, 0, 1, 8, 94
"c:\Users\sad sad\Desktop\React\app\src\components\Navbar\Logo.js", "JavaScript", 0, 25, 0, 0, 0, 4, 29
"c:\Users\sad sad\Desktop\React\app\src\components\Navbar\MobileNavbar.js", "JavaScript", 0, 76, 0, 0, 0, 5, 81
"c:\Users\sad sad\Desktop\React\app\src\components\Navbar\NavLink.js", "JavaScript", 0, 34, 0, 0, 0, 5, 39
"c:\Users\sad sad\Desktop\React\app\src\components\Navbar\Navbar.js", "JavaScript", 0, 82, 0, 0, 0, 9, 91
"c:\Users\sad sad\Desktop\React\app\src\components\Navbar\Option.js", "JavaScript", 0, 65, 0, 0, 0, 6, 71
"c:\Users\sad sad\Desktop\React\app\src\components\Navbar\UserRouter.js", "JavaScript", 0, 25, 0, 0, 0, 8, 33
"c:\Users\sad sad\Desktop\React\app\src\components\UserJob\UserJobList.js", "JavaScript", 0, 179, 0, 0, 0, 16, 195
"c:\Users\sad sad\Desktop\React\app\src\components\UserList\UserList.js", "JavaScript", 0, 44, 0, 0, 0, 4, 48
"c:\Users\sad sad\Desktop\React\app\src\components\UserSettings\Router.js", "JavaScript", 0, 82, 0, 0, 0, 9, 91
"c:\Users\sad sad\Desktop\React\app\src\components\UserSettings\Text.js", "JavaScript", 0, 27, 0, 0, 0, 5, 32
"c:\Users\sad sad\Desktop\React\app\src\i18n\LanguageChanger.js", "JavaScript", 0, 18, 0, 0, 0, 4, 22
"c:\Users\sad sad\Desktop\React\app\src\i18n\i18n.js", "JavaScript", 0, 16, 0, 0, 0, 7, 23
"c:\Users\sad sad\Desktop\React\app\src\index.js", "JavaScript", 0, 46, 0, 0, 0, 5, 51
"c:\Users\sad sad\Desktop\React\app\src\layout\Layout.js", "JavaScript", 0, 18, 0, 0, 1, 9, 28
"c:\Users\sad sad\Desktop\React\app\src\pages\Dashboard.js", "JavaScript", 0, 101, 0, 0, 0, 9, 110
"c:\Users\sad sad\Desktop\React\app\src\pages\JobActions\AddJob.js", "JavaScript", 0, 363, 0, 0, 1, 17, 381
"c:\Users\sad sad\Desktop\React\app\src\pages\JobActions\DeleteJob.js", "JavaScript", 0, 56, 0, 0, 57, 14, 127
"c:\Users\sad sad\Desktop\React\app\src\pages\JobDetails.js", "JavaScript", 0, 87, 0, 0, 0, 8, 95
"c:\Users\sad sad\Desktop\React\app\src\pages\UserDashboard.js", "JavaScript", 0, 61, 0, 0, 0, 5, 66
"c:\Users\sad sad\Desktop\React\app\src\pages\UserProfiles.js", "JavaScript", 0, 33, 0, 0, 0, 8, 41
"c:\Users\sad sad\Desktop\React\app\src\pages\User\Login.js", "JavaScript", 0, 97, 0, 0, 0, 8, 105
"c:\Users\sad sad\Desktop\React\app\src\pages\User\Logout.js", "JavaScript", 0, 13, 0, 0, 0, 12, 25
"c:\Users\sad sad\Desktop\React\app\src\pages\User\Profile.js", "JavaScript", 0, 114, 0, 0, 0, 13, 127
"c:\Users\sad sad\Desktop\React\app\src\pages\User\RecoverPassword.js", "JavaScript", 0, 84, 0, 0, 0, 6, 90
"c:\Users\sad sad\Desktop\React\app\src\pages\User\Settings.js", "JavaScript", 0, 129, 0, 0, 118, 23, 270
"c:\Users\sad sad\Desktop\React\app\src\pages\User\Signup.js", "JavaScript", 0, 118, 0, 0, 0, 7, 125
"c:\Users\sad sad\Desktop\React\app\src\pages\User\VerifyEmail.js", "JavaScript", 0, 41, 0, 0, 0, 6, 47
"c:\Users\sad sad\Desktop\React\app\src\store\actions\actionTypes.jsx", "JavaScript React", 23, 0, 0, 0, 0, 7, 30
"c:\Users\sad sad\Desktop\React\app\src\store\actions\authActions.jsx", "JavaScript React", 146, 0, 0, 0, 8, 13, 167
"c:\Users\sad sad\Desktop\React\app\src\store\actions\index.jsx", "JavaScript React", 2, 0, 0, 0, 0, 1, 3
"c:\Users\sad sad\Desktop\React\app\src\store\actions\jobActions.jsx", "JavaScript React", 75, 0, 0, 0, 4, 7, 86
"c:\Users\sad sad\Desktop\React\app\src\store\index.jsx", "JavaScript React", 27, 0, 0, 0, 1, 6, 34
"c:\Users\sad sad\Desktop\React\app\src\store\reducers\authReducer.jsx", "JavaScript React", 99, 0, 0, 0, 6, 19, 124
"c:\Users\sad sad\Desktop\React\app\src\store\reducers\index.jsx", "JavaScript React", 12, 0, 0, 0, 0, 3, 15
"c:\Users\sad sad\Desktop\React\app\src\store\reducers\jobReducer.jsx", "JavaScript React", 39, 0, 0, 0, 1, 10, 50
"Total", "-", 423, 3400, 538, 554, 208, 525, 5648
